text,label
We are delighted to officially confirm your selection for the role of Software Development Engineer Intern at Bluestock Fintech. To proceed with the onboarding process please complete the joining formalities by submitting the joining letter at the link below.,offer
"Hi Vamshi, We are thrilled to extend an offer for the Data Science Intern position at Myntra. Your stipend will be 25000 per month for a period of 6 months starting March 2026. Please find the offer letter attached.",offer
"Dear Gourwar, We are pleased to offer you the role of ML Engineer Intern at Freshworks. Please review the attached offer letter and revert with your acceptance by Friday. We look forward to having you on the team.",offer
"Hi Vamshi Krishna, Congratulations on successfully completing the interview process for the Backend Intern role at Razorpay. We are happy to offer you the position with a stipend of 30000 per month. Please confirm your acceptance.",offer
We are delighted to officially confirm your selection for the role of Software Development Engineer Intern at Bluestock Fintech. To proceed with the onboarding process please complete the joining formalities by submitting the joining letter at the link below.,offer
"Hi Vamshi, We are thrilled to extend an offer for the Data Science Intern position at Myntra. Your stipend will be 25000 per month for a period of 6 months starting March 2026. Please find the offer letter attached.",offer
"Dear Gourwar, We are pleased to offer you the role of ML Engineer Intern at Freshworks. Please review the attached offer letter and revert with your acceptance by Friday. We look forward to having you on the team.",offer
"Hi Vamshi Krishna, Congratulations on successfully completing the interview process for the Backend Intern role at Razorpay. We are happy to offer you the position with a stipend of 30000 per month. Please confirm your acceptance.",offer
"Dear Gourwar, It is our pleasure to offer you the position of Data Analyst Intern at Zepto. Kindly sign and return the attached offer letter by the end of this week to confirm your acceptance of this offer.",offer
"Hi Vamshi, We are excited to officially offer you the Software Engineer Intern role at Groww. The offer includes a monthly stipend of 20000. Please find the detailed offer letter attached and confirm by Monday.",offer
"Dear Vamshi Krishna, We are happy to inform you that you have been selected for the Data Engineer Intern position at PhonePe. Please review the attached offer letter and sign it digitally to confirm your joining.",offer
"Hi Gourwar, After a thorough evaluation of your interviews we are delighted to offer you the position of Full Stack Intern at Zerodha. Kindly acknowledge receipt of this offer and confirm your acceptance at the earliest.",offer
"Dear Vamshi, Congratulations on clearing all rounds of our hiring process. We are pleased to offer you the role of Python Developer Intern at Postman. The joining date is April 1 2026. Please find the offer letter attached.",offer
"Hi Vamshi Krishna, It gives us great pleasure to extend an offer for the Business Analyst Intern role at CRED. Your monthly stipend will be 22000. Please sign and return the attached document to confirm acceptance.",offer
"Dear Gourwar, We are thrilled to welcome you to the Swiggy family. Please find attached your official offer letter for the role of ML Engineer Intern. Kindly complete the joining formalities before March 15 2026.",offer
"Hi Vamshi, After carefully reviewing your application we are unfortunately moving forward with other candidates based on specific qualifications for this role. Our team was impressed by your skills and we wish you the best.",rejection
"Hi Vamshi, Thank you for applying to the Software Application Development Apprenticeship role. We carefully reviewed your background and decided not to proceed with your application at this time. Best of luck, Google Recruiting",rejection
"Dear Vamshi, After thorough consideration we regret to inform you that we will not be moving forward with your application for the Data Analyst role at Zomato. We appreciate the time you invested in our interview process.",rejection
"Hi Gourwar, Thank you for interviewing for the Software Engineer Intern position at Paytm. Unfortunately we have decided to move forward with candidates whose experience more closely matches our current needs.",rejection
